cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Ancient Chant,1,Super Rare,Unlimited,The Great Olds,The 78665705,78665705,
Blaze Cannon,2,Rare,Unlimited,The Great Olds1,The 04059313,04059313,
Contract with Exodia,4,Common,Unlimited,The Great Olds,The 33244944,33244944,
Contract with Exodia,4,Common,Unlimited,The Great Olds1,The 33244944,33244944,
Dark Spell Regeneration,1,Super Rare,Unlimited,The Great Olds,The 12930501,12930501,
Dark Spell Regeneration,1,Super Rare,Unlimited,The Great Olds1,The 12930501,12930501,
Divine Evolution,2,Rare,Unlimited,The Great Olds,The 07373632,07373632,
Egyptian God Slime,1,Super Rare,Unlimited,The Great Olds,The 42166000,42166000,
Exodia Necross,6,Common,Unlimited,The Great Olds,The 12600382,12600382,
Exodia Necross,1,Common,Unlimited,The Great Olds1,The 12600382,12600382,
Exodia the Forbidden One,2,Super Rare,Unlimited,The Great Olds,The 33396948,33396948,
Exodius the Ultimate Forbidden Lord,14,Common,Unlimited,The Great Olds,The 13893596,13893596,
Exodius the Ultimate Forbidden Lord,2,Common,Unlimited,The Great Olds1,The 13893596,13893596,
Fiend's Sanctuary,5,Rare,Unlimited,The Great Olds,The 24874630,24874630,
Fiend's Sanctuary,1,Rare,Unlimited,The Great Olds1,The 24874630,24874630,
Fist of Fate,2,Rare,Unlimited,The Great Olds,The 79868386,79868386,
Guardian Slime,1,Rare,Unlimited,The Great Olds,The 15771991,15771991,
Holding Arms,6,Common,Unlimited,The Great Olds,The 43730887,43730887,
Holding Arms,1,Common,Unlimited,The Great Olds1,The 43730887,43730887,
Holding Legs,4,Common,Unlimited,The Great Olds,The 70124586,70124586,
Holding Legs,3,Common,Unlimited,The Great Olds1,The 70124586,70124586,
Jam Breeding Machine,3,Common,Unlimited,The Great Olds,The 21770260,21770260,
Jam Breeding Machine,4,Common,Unlimited,The Great Olds1,The 21770260,21770260,
Jam Defender,6,Common,Unlimited,The Great Olds,The 21558682,21558682,
Jam Defender,2,Common,Unlimited,The Great Olds1,The 21558682,21558682,
Left Arm Offering,1,Super Rare,Unlimited,The Great Olds,The 86541496,86541496,
Left Arm of the Forbidden One,8,Common,Unlimited,The Great Olds,The 07902349,07902349,
Left Arm of the Forbidden One,1,Common,Unlimited,The Great Olds1,The 07902349,07902349,
Left Leg of the Forbidden One,2,Common,Unlimited,The Great Olds,The 44519536,44519536,
Left Leg of the Forbidden One,1,Common,Unlimited,The Great Olds1,The 44519536,44519536,
Metal Reflect Slime,4,Common,Unlimited,The Great Olds,The 26905245,26905245,
Metal Reflect Slime,1,Common,Unlimited,The Great Olds1,The 26905245,26905245,
Millennium Revelation,4,Super Rare,Unlimited,The Great Olds,The 41044418,41044418,
Obelisk the Tormentor,1,Ultra Rare,Unlimited,The Great Olds,The 10000000,10000000,
Obliterate!!!,3,Rare,Unlimited,The Great Olds,The 64043465,64043465,
Obliterate!!!,1,Rare,Unlimited,The Great Olds1,The 64043465,64043465,
Ra's Disciple,4,Common,Unlimited,The Great Olds,The 74875003,74875003,
Reactor Slime,2,Rare,Unlimited,The Great Olds,The 79387392,79387392,
Reactor Slime,1,Rare,Unlimited,The Great Olds1,The 79387392,79387392,
Revival Jam,8,Common,Unlimited,The Great Olds,The 31709826,31709826,
Revival Jam,4,Common,Unlimited,The Great Olds1,The 31709826,31709826,
Right Arm of the Forbidden One,4,Common,Unlimited,The Great Olds,The 70903634,70903634,
Right Arm of the Forbidden One,5,Common,Unlimited,The Great Olds1,The 70903634,70903634,
Right Leg of the Forbidden One,2,Common,Unlimited,The Great Olds,The 08124921,08124921,
Right Leg of the Forbidden One,1,Common,Unlimited,The Great Olds1,The 08124921,08124921,
Slifer the Sky Dragon,1,Ultra Rare,Unlimited,The Great Olds1,0,unlisted,
Soul Crossing,2,Super Rare,Unlimited,The Great Olds,The 05253985,05253985,
Sun God Unification,1,Rare,Unlimited,The Great Olds,The 77432167,77432167,
Sun God Unification,2,Rare,Unlimited,The Great Olds1,The 77432167,77432167,
The Legendary Exodia Incarnate,3,Rare,Unlimited,The Great Olds,The 58604027,58604027,
The Legendary Exodia Incarnate,4,Rare,Unlimited,The Great Olds1,The 58604027,58604027,
The True Name,2,Rare,Unlimited,The Great Olds,The 39913299,39913299,
The True Name,2,Rare,Unlimited,The Great Olds1,The 39913299,39913299,
The Winged Dragon of Ra - Immortal Phoenix,3,Ultra Rare,Unlimited,The Great Olds,The 10000090,10000090,
Thunderforce Attack,3,Rare,Unlimited,The Great Olds,The 42469671,42469671,
Thunderforce Attack,1,Rare,Unlimited,The Great Olds1,The 42469671,42469671,
Tribute Burial,2,Super Rare,Unlimited,The Great Olds,The 80230510,80230510,
Ultimate Divine-Beast,3,Rare,Unlimited,The Great Olds,The 32247099,32247099,
Ultimate Divine-Beast,2,Rare,Unlimited,The Great Olds1,The 32247099,32247099,
